cui_1,relship,cui_2
C0037995,TREATS,C0029925
C3842674,PREDISPOSES,C0036690
C3850079,TREATS,C0029925
C0037995,PREDISPOSES,C0036690
C0019682,CAUSES,C1373218
C0042749,COEXISTS_WITH,C0019682
C0019693,PREDISPOSES,C0012634
C0019693,PREDISPOSES,C1545588
C1825598,AUGMENTS,C0006826
C1825598,INTERACTS_WITH,C0022688
C2930845,PROCESS_OF,C0030705
C3714514,COEXISTS_WITH,C0085393
C0080194,PROCESS_OF,C0030705
C0024109,LOCATION_OF,C0877373
C0877373,COEXISTS_WITH,C0240602
C0036690,PRECEDES,C0240602
C0017181,PROCESS_OF,C0030705
C3887460,LOCATION_OF,C0677946
C0877248,PROCESS_OF,C0030705
C0472699,TREATS,C0030705
C0472699,TREATS(INFER),C0877248
C1705576,TREATS,C0030705
C0877248,NEG_PROCESS_OF,C0030705
C0006560,AUGMENTS,C0004610
C0006560,AUGMENTS,C0242966
C0072027,AUGMENTS,C0004610
C0072027,AUGMENTS,C0242966
C0472699,PRECEDES,C0596473
C0021853,LOCATION_OF,C0856825
C0205054,LOCATION_OF,C0948441
C0040739,ADMINISTERED_TO,C0030705
C0024302,PROCESS_OF,C0030705
C0040739,TREATS,C0026766
C0040739,TREATS,C0036983
C0040739,TREATS,C1299448
C0000846,COEXISTS_WITH,C0036983
C0000846,PART_OF,C0030705
C0042149,LOCATION_OF,C0206653
C0206653,ISA,C0023267
C0278584,PROCESS_OF,C0043210
C0020699,ISA,C0087111
C0014742,COMPLICATES,C0221027
C0004651,PROCESS_OF,C0030705
C0015230,PROCESS_OF,C0030705
C0577725,PROCESS_OF,C0030705
C0005558,DIAGNOSES,C0014742
C0005558,DIAGNOSES,C1266091
C0004610,PROCESS_OF,C1635274
C0004610,PROCESS_OF,C0001675
C0004610,PROCESS_OF,C0014346
C0282386,TREATS,C0001675
C0282386,TREATS(INFER),C0004610
C0282386,TREATS,C0206171
C0004610,ISA,C3714514
C0455142,USES,C0282386
C0019682,PROCESS_OF,C0030705
C0439663,PROCESS_OF,C0030705
C0007222,AFFECTS,C0009488
C0024117,AFFECTS,C0009488
C0151317,AFFECTS,C0009488
C0029118,OCCURS_IN,C0030705
C0184666,TREATS,C0022660
C0184666,TREATS,C0023895
C0019682,NEG_PROCESS_OF,C0030705
C0805586,TREATS,C0030705
C0805586,TREATS(INFER),C0439663
C0442726,PROCESS_OF,C0030705
C0229664,PART_OF,C0030705
C0376545,COEXISTS_WITH,C0004623
C1535922,DIAGNOSES,C0036690
C1511790,CAUSES,C0036690
C0005767,LOCATION_OF,C0003241
C0005767,PART_OF,C0030705
