pmid,cui
31036123,C0227391
31036123,C0230168
31036123,C1719672
31036123,C0036690
31034629,C0037995
31034245,C0010340
31034245,C4296962
31034245,C0018270
31034245,C0006826
31034245,C0086409
31034245,C0010337
31033794,C0005775
31033794,C0027651
31033794,C0015967
31033794,C0683971
31033794,C1999123
31033794,C3272283
31027885,C0042749
31027885,C0751674
31027885,C0005670
31027885,C0949792
31027885,C0332835
31027885,NA
31027885,C0024128
31027885,C0072980
31027885,C0242687
31027885,C1697878
31027514,C0036690
31027514,C0009054
31027514,C0009063
31027514,C0235574
31027514,C0341439
31027514,C1373218
31027514,C0151763
31027514,C0850292
31027514,C0948540
31027514,C0014582
31027514,C0796679
31027514,C0947677
31027514,C1134564
31027514,C0011079
31027514,C0004398
31027514,C0205054
31027514,C0333161
31027430,C1096243
31027430,C0587482
31027430,C0032927
31027430,C0376545
31012990,C0005558
31012990,C0020029
31012990,C0033572
31012990,C0030705
31012990,C0486433
31012990,C0019994
31012990,C2315751
31012990,C0014834
31012990,C0036690
31012990,C0282638
31005402,C0023467
31005135,C0004623
31005135,C0376545
31005135,C0003204
31002116,C0042749
31002116,C0035366
31002116,C2744535
31001694,C0010356
31001694,C0021708
31001694,C3272283
31001694,C0010340
31001694,C0205721
31001694,C1701940
31001694,C1836348
30996161,C0013216
30996161,C0037813
30996161,C0016832
30996161,C0033213
30996161,C0085082
30982728,C0004610
30982728,C1292769
30982728,C2886794
30982728,C0085669
30971442,C0036690
30971442,C0023690
30971442,C0027651
30968540,C0012634
30968540,C0400330
30968540,C1142182
30963670,C0020672
30963670,C0001962
30963670,C0728899
30946433,C0009566
30940465,C0001483
30940465,C0012923
30940465,C0032556
30940465,C0086776
30940465,C0376545
30940465,C3470196
30940465,C0010825
30940465,C0042776
30931978,C0019682
30931978,C3714514
30931978,C0014834
30931978,C0445625
30931383,C0036983
30931383,C0032285
30931383,C0036974
30931383,C0042029
30927433,C0877445
30927433,C0009402
30918555,C1292777
30918555,C0030312
30918555,C1882062
30913507,C0007684
30913507,C0014061
30913507,C0019348
30907674,C1262313
30907674,C0023530
30907674,C0456981
30907674,C0013216
30907674,C3890735
30903246,C0015252
30903246,C1825598
30903246,C0231221
30903246,C0009402
30903246,C1144866
30894559,C0242379
30894559,C2939419
30894559,C0006826
30894559,C0231224
30894559,C1186763
30887633,C0038002
30887633,C0242172
30887633,C0315222
30880638,C0013216
30880638,C0085669
30880638,C0746883
30880638,C0004623
30880638,C0282386
30880638,C0282638
30879981,C0250480
30879981,C0376545
30879981,C0746883
30879981,C0003232
30879981,C0013216
30876492,C1825598
30876492,C0038902
30876492,C0038941
30871955,C0393022
30871955,C0432487
30871955,C0206012
30864067,C1516213
30864067,C0030705
30864067,C0184661
30864067,C0036690
30864067,C0006826
30857430,C0004610
30857430,C0021853
30857430,C0015967
30857430,C0204727
30852054,C1305188
30852050,C0026764
30852050,C0086582
30844318,C1373218
30826280,C0019682
30826280,C0024305
30818897,C0008059
30818897,C0376545
30818897,C0041740
30818897,NA
30818897,C0036983
30818897,C0021760
30818897,C0072027
30818897,C0085295
30818897,scale
30818897,C0085423
30816316,C0003261
30816316,C0042749
30816316,C0011065
30816316,C0016318
30816316,C0022885
30816316,C0040300
30816316,C0162633
30816316,C0004422
30808021,C2744535
30808021,C0948008
30808021,C1456447
30796880,C0023467
30796880,C0010834
30796880,C0005767
30796880,C0030705
30796880,C0178913
30796880,C0036690
30796880,C0061187
30796880,C0032105
30796468,C0036690
30796468,C0013216
30796468,C0023530
30796468,C0031831
30796468,C0259990
30796468,C0278598
30789337,C0022940
30789337,C0004610
30788880,C0000726
30788880,C0041618
30788880,C0430067
30788880,C0199171
30788880,C1522577
30788880,C2986717
30788880,C0015252
30788880,C0476442
30788880,C0600457
30788532,C4521453
30788532,C0004610
30788532,C0679006
30788532,C2926735
30777346,C0037299
30771346,C0029925
30771346,C0205065
30771346,C1708063
30771346,C0015560
30771346,C0598463
30771346,C0009566
30761632,C0036690
30758124,C0017710
30758124,C0023449
30758124,C0029445
30758124,C0243026
30758124,C0024485
30758124,C0011777
30758124,C0004610
30758124,C0023810
30737726,C1040967
30735240,C0085082
30735240,C0006826
30735240,C0376545
30735240,C0369241
30735240,C0877445
30724005,C0006826
30724005,C0015967
30724005,C3272281
30714072,C0023884
30704933,C1145640
30704933,C0023467
30704933,C0013216
30704933,C0185115
30700472,C0004610
30700472,C0023884
30700472,C0085479
30700472,C0153382
30700472,C0740690
30700472,C0017189
30700472,C0225317
30700472,C0750430
30700449,C0021853
30700449,C0343965
30700449,C0019145
30692290,C0007113
30692290,C0034897
30692290,C0015252
30689291,C1504389
30689291,C0004610
30689291,C0026764
30689291,C0040732
30689291,C0854504
30689291,C0748042
30689291,C0013216
30685808,C0079459
30685808,C3272283
30685110,C0376545
30685110,C0200949
30685110,C0444186
30685110,C1855575
30685110,C0085669
30685110,C0079744
30685110,C0023530
30685110,C0332149
30676435,C0446051
30676435,C0243026
30676435,C0450254
30676435,C0006826
30676435,C4061114
30676435,C0027708
30676435,C0744235
30676435,C0718566
30676435,C1262313
30676435,C0005767
30674576,C0887899
30674576,C1567710
30674576,C0014442
30674576,C0023810
30674576,C0024432
30673118,C0019158
30673118,C3653501
30673118,C0042749
30673118,C0220908
30649224,C0472699
30649224,C2368066
30649224,C0085669
30632396,C0033573
30632396,C0376358
30632396,C0940933
30632396,C2986522
30621478,C0022354
30621478,C0184661
30621478,C0275553
30621478,C0745472
30621478,C0007562
30621478,C0042313
30612916,C0520575
30612916,C0022369
30612916,C0023524
30612916,C0004610
30602285,C0004600
30602285,C0206632
30602285,C0030705
30602285,C0491217
30600945,C0278704
30600945,C3714514
30600945,C0014441
30600945,C0002499
30600945,C0663241
30600529,C0035648
30600529,C0036983
30600529,C3658261
30600529,C0014346
30600529,C1444096
30600529,C0006826
30600529,C0023530
30600529,C3177188
30587143,C0452221
30587143,C0024109
30587143,C0024204
30587143,C0085441
30587143,C0192420
30587143,C0087111
30587143,C1963724
30587143,C0019693
30587143,C0019682
30581103,C0035525
30581103,C0199176
30581103,C0524910
30581103,C2239176
30581103,C0332155
30581103,C0521158
30581103,C4050171
30581103,scale
30581103,C0679699
30581103,C0679700
30565009,C0854504
30565009,C0004610
30565009,C0085494
30565009,C1825598
30565009,C2368066
30565009,C0023467
30561587,C3887460
30548621,C0007102
30548621,C0036690
30548621,C0014118
30548621,C0042765
30548621,C0040288
30548621,C2362067
30548621,C0742597
30546080,C0023434
30546080,C3714514
30546080,C3272283
30546080,C0450442
30546080,C0877445
30545330,C0035648
30545330,C0442867
30545330,C0472699
30545330,C0040732
30545330,C0445623
30545330,C0022885
30545330,C0012634
30544434,C0027627
30544434,C0153676
30544434,C1185740
30544434,C0230329
30544434,C3844327
30544434,C0040395
30544434,C0005558
30544434,C0024109
30544434,C0001625
30544434,C0025066
30544434,C2334322
30544434,C0184893
30544434,C0021852
30544434,C0920688
30544434,C0332149
30541469,C0004610
30541469,C1019638
30541469,C0029925
30541469,C2886794
30523620,C0006826
30523620,C0001175
30523620,C0376526
30523620,C1512508
30537106,C0006826
30537106,C0854327
30537106,C0004610
30537106,C0023449
30537106,C3714514
30537106,C0040732
30537106,C0011065
30537106,C0023530
30534901,C0004610
30534901,C0023418
30534901,C0035648
30534901,C0006826
30530600,C0004610
30530600,C0315276
30530600,C0376545
30530598,C0376545
30530598,C0854135
30530598,C3656593
30530598,C0596545
30530598,C0036690
30530598,C3640852
30508214,C0205065
30508214,C0405832
30508214,C3714514
30508214,C0013216
30508214,NA
30506143,C0000726
30506143,C0030797
30506143,C0036690
30506143,C1457887
30506143,C0401020
30506143,C1306459
30506143,C0027627
30506143,C0230168
30506143,C1880568
30504206,C0009566
30504206,C0376545
30504206,C0746883
30509935,C0004610
30509935,C0006968
30509935,C0250480
30509935,C0376545
30509935,C1444097
30509935,C3714514
30509935,C0055003
30509935,C1096262
30509935,C0023418
30509935,C0015967
30509935,C0424768
30498206,C0037088
30485357,C1825598
30485357,C0376545
30485357,C0746883
30485357,C0004610
30481595,C1096243
30481595,C1504389
30481595,C1825598
30481595,C3272283
30481595,C0036690
30481595,C0746883
30478977,C0003232
30478977,C0027651
30478977,C0015967
30473045,C0013216
30473045,C0280099
30473045,C0877153
30473045,C0036690
30473045,C2744535
30473045,NA
30473045,C0015967
30473045,C0023530
30473045,C1457887
30472051,C0011065
30472051,C0810031
30472051,C0036690
30472051,C0019212
30472051,C0031154
30472051,C0236664
30470620,C0877445
30470620,C0027651
30470620,C0040690
30470620,C1519477
30470620,C1416467
30450562,C0036690
30450562,C0376358
30450562,C0006826
30450562,C0011065
30450562,NA
30450562,C0011900
30439767,C0019080
30439767,C0376545
30439767,C0030705
30439767,C1719672
30439767,C0038179
30439767,C0940931
30430399,C0023861
30430399,C0025309
30430399,C0036690
30430399,C0175996
30430399,C0042210
30429336,C0162327
30429336,C3178810
30429336,C0042749
30429336,C0376387
30429336,C0682526
30429336,C0030705
30429336,C1608383
30429336,C4505454
30429336,C0887939
30429336,C0007634
30429336,C1180059
30429336,C0032520
30429336,C0042769
30424935,C0021081
30424935,C0019163
30424935,C0013216
30424935,C0027671
30424935,C1709246
30361134,C3714514
30361134,C1116142
30361134,C0439656
30361134,C0023530
30361134,C0376545
30361134,C0149778
30357314,C0085669
30348506,C3814448
30348506,C0193083
30348506,C0683954
30348506,C3156956
30348506,C1142182
30348506,C0032787
30348506,C0193062
30348506,C0524865
30343587,C0041296
30343587,C0018270
30343587,C0041327
30343587,C0221198
30343587,C1145670
30343587,C0036690
30340941,C0085669
30340941,C0021839
30340941,C0199176
30340941,C0040808
30340941,C1825598
30340941,C0032285
30322269,C0877445
30322269,C0006826
30322269,C0006840
30322269,C1512441
30303100,C0006826
30299891,C0009488
30299891,C0035139
30299891,C0338078
30299891,C0020635
30299891,C0006826
30299891,C0007785
30299891,C0011860
30299891,C0282402
30299891,C0578022
30298316,C0011777
30298316,C1517940
30298316,C0235974
30298316,C0085162
30298316,C0281361
30295013,C0023467
30294330,C0030705
30294330,C0036734
30294330,C0377274
30294330,C0472699
30294330,C1328050
30294330,C1417037
30294330,C1417054
30294330,NA
30294330,C0026764
30294330,C3714514
30294330,C4321237
30294330,C0006826
30294330,C0024299
30294330,C0004610
30294330,C0065661
30294330,C0229671
30294330,C1417036
30286805,C0029939
30286805,C1262234
30286805,C1518720
30286805,C0013216
30281004,C0010651
30281004,C0042020
30281004,C0194401
30281004,C1096106
30276937,C0178802
30276937,C0333343
30276937,C0020964
30276937,C0376526
30276937,C0205160
30276937,C0042749
30276937,C1292753
30276937,C0032227
30264151,C0023449
30264151,C0338656
30251730,NA
30251730,C0376545
30251730,C0018939
30251730,C3839291
30251730,C0746883
30251730,C3714514
30246771,C0004610
30246771,C0023885
30246771,C0241863
30246771,C0315218
30246771,C0003232
30246771,C0332149
30246770,C0004610
30246770,C0007294
30246770,C0314761
30246770,C0315024
30244992,C0004610
30244992,C0009488
30244992,C0439663
30244992,C0008059
30244992,C0011946
30244992,C0032134
30244992,C0008625
30244992,C0011615
30244992,C0001675
30244521,C0009402
30244521,C0460002
30244521,C2744535
30244521,C0009274
30244521,C0021081
30244075,C0027651
30244075,C3714514
30244075,C0020017
30244075,C0013216
30244075,C0376545
30229470,C0150685
30229470,C0038172
30229470,C3714514
30229470,C0004610
30229470,C0014591
30229470,C1504389
30229470,C0582103
30227711,C0006812
30227711,C0021368
30220331,C0036690
30220331,C0278996
30220331,C0006826
30220331,C3887461
30220331,C0013216
30220331,C0153398
30216521,C0038826
30216521,C0006916
30216521,C0018150
30216521,C3714514
30216521,C0022359
30208456,C0004610
30208456,C0085669
30208456,C0282638
30208456,C0013216
30208456,C0472699
30196561,C0006826
30196561,C1279810
30190162,C0004610
30180106,C0001125
30180106,C0010340
30180106,C0003130
30180106,C1836805
30180106,C0001122
30180106,C0200949
30171923,C0005558
30171923,C0033572
30171923,C0194810
30146580,C0041834
30146580,C0315045
30146580,C0003873
30146580,C0004610
30146580,C0024299
30146580,C0000726
30146580,C0002680
30146580,C0016536
30146580,C0039866
30146580,C0029118
30142851,C0206702
30142851,C0008311
30142851,C3844729
30141173,C0010340
30133965,C0004610
30133965,C1960876
30126310,C0011121
30126310,C0026764
30126310,C1328050
30126310,C1504389
30126310,C0002679
30126310,C0042313
30126310,C3714514
30126310,C3854019
30126310,C0041044
30126310,C0004623
30124547,C1753353
30124547,C0006413
30124547,C0036690
30124421,C0004610
30124421,C0007137
30124421,C0237154
